Generation,Best_Fitness,Average_Fitness
493,21,9.066666666666666
494,21,8.033333333333333
495,21,8.513333333333334
496,21,8.113333333333333
497,21,8.146666666666667
498,21,8.506666666666666
499,21,8.406666666666666
500,21,9.053333333333333
501,21,8.526666666666667
502,21,8.126666666666667
503,21,9.093333333333334
504,21,9.5
505,21,8.526666666666667
506,21,8.566666666666666
507,21,8.493333333333334
508,21,8.546666666666667
509,21,9.006666666666666
510,21,8.52
511,21,8.453333333333333
512,21,8.193333333333333
513,21,8.206666666666667
514,21,8.86
515,21,7.733333333333333
516,21,8.726666666666667
517,21,8.3
518,21,7.613333333333333
519,21,9.34
520,21,7.706666666666667
521,21,8.34
522,21,8.093333333333334
523,21,8.426666666666666
524,21,8.28
525,21,8.56
526,21,8.086666666666666
527,21,8.406666666666666
528,21,9.073333333333334
529,21,8.533333333333333
530,21,8.4
531,21,8.053333333333333
532,21,8.193333333333333
533,21,9.173333333333334
534,21,8.953333333333333
535,21,8.78
536,21,8.886666666666667
537,21,9.06
538,21,9.033333333333333
539,21,8.626666666666667
540,21,8.526666666666667
541,21,8.84
542,21,9.146666666666667
543,21,8.793333333333333
544,21,8.306666666666667
545,21,8.593333333333334
546,21,8.66
547,21,9.093333333333334
548,21,7.88
549,21,8.733333333333333
550,21,9.326666666666666
551,21,8.426666666666666
552,21,9.24
553,21,8.826666666666666
554,21,8.273333333333333
555,21,8.833333333333334
556,21,7.54
557,21,8.733333333333333
558,21,8.16
559,21,8.993333333333334
560,21,8.353333333333333
561,21,8.806666666666667
562,21,8.84
563,21,8.993333333333334
564,21,8.46
565,21,8.24
566,21,8.466666666666667
567,21,8.373333333333333
568,21,9.033333333333333
569,21,9.413333333333334
570,21,8.493333333333334
571,21,7.94
572,21,9.453333333333333
573,21,8.913333333333334
574,21,8.893333333333333
575,21,8.52
576,21,9.106666666666667
577,21,8.86
578,21,8.966666666666667
579,21,8.18
580,21,8.593333333333334
581,21,9.24
582,21,7.293333333333333
583,21,9.3
584,21,8.32
585,21,7.98
586,21,8.366666666666667
587,21,9.4
588,21,8.293333333333333
589,21,9.146666666666667
590,21,8.593333333333334
591,21,8.926666666666666
592,21,8.766666666666667
593,21,8.42
594,21,8.54
595,21,8.72
596,21,8.506666666666666
597,21,8.566666666666666
598,21,8.52
599,21,8.913333333333334
600,21,8.253333333333334
601,21,8.326666666666666
602,21,8.16
603,21,8.74
604,21,8.113333333333333
605,21,8.926666666666666
606,21,8.413333333333334
607,21,9.106666666666667
608,21,8.76
609,21,8.1
610,21,8.513333333333334
611,21,8.753333333333334
612,21,8.746666666666666
613,21,8.946666666666667
614,21,8.553333333333333
615,21,9.04
616,21,8.933333333333334
617,21,8.546666666666667
618,21,8.353333333333333
619,21,8.26
620,21,9.113333333333333
621,21,8.373333333333333
622,21,8.906666666666666
623,21,7.833333333333333
624,21,8.72
625,21,9.06
626,21,8.24
627,21,8.366666666666667
628,21,8.62
629,21,8.833333333333334
630,21,8.06
631,21,8.393333333333333
632,21,7.94
633,21,8.586666666666666
634,21,8.626666666666667
635,21,8.213333333333333
636,21,8.413333333333334
637,21,8.44
638,21,8.293333333333333
639,21,8.993333333333334
640,21,8.986666666666666
641,21,8.993333333333334
642,21,8.46
643,21,8.14
644,21,8.946666666666667
645,21,8.793333333333333
646,21,8.966666666666667
647,21,8.16
648,21,8.853333333333333
649,21,8.7
650,21,9.333333333333334
651,21,8.293333333333333
652,21,8.433333333333334
653,21,8.133333333333333
654,21,8.426666666666666
655,21,9.046666666666667
656,21,9.266666666666667
657,21,8.626666666666667
658,21,8.446666666666667
659,21,8.626666666666667
660,21,9.053333333333333
661,21,8.013333333333334
662,21,8.986666666666666
663,21,8.746666666666666
664,21,8.72
665,21,8.846666666666666
666,21,8.3
667,21,9.193333333333333
668,21,8.773333333333333
669,21,8.02
670,21,8.686666666666667
671,21,8.886666666666667
672,21,8.913333333333334
673,21,8.446666666666667
674,21,8.14
675,21,8.78
676,21,8.76
677,21,8.246666666666666
678,21,9.02
679,21,8.773333333333333
680,21,8.846666666666666
681,21,9.093333333333334
682,21,8.773333333333333
683,21,9.04
684,21,8.593333333333334
685,21,9.226666666666667
686,21,8.753333333333334
687,21,8.886666666666667
688,21,8.42
689,21,8.973333333333333
690,21,8.46
691,21,9.146666666666667
692,21,9.48
693,21,8.733333333333333
694,21,8.413333333333334
695,21,8.7
696,21,8.966666666666667
697,21,8.46
698,21,8.846666666666666
699,21,8.693333333333333
700,21,8.68
701,21,8.46
702,21,8.553333333333333
703,21,8.366666666666667
704,21,8.106666666666667
705,21,8.713333333333333
706,21,8.52
707,21,9.06
708,21,8.813333333333333
709,21,8.753333333333334
710,21,9.04
711,21,8.993333333333334
712,21,8.926666666666666
713,21,8.573333333333334
714,21,7.933333333333334
